Time (s),Delta_n (m)
0.023700000000000002,0.00149331305854115
0.0238,0.001499566398917482
0.0239,0.0015058191394672746
0.024,0.001512071277689431
0.0241,0.0015183228110830969
0.024200000000000003,0.0015245737371476584
0.024300000000000002,0.0015308240533827453
0.0244,0.0015370737572882318
0.0245,0.0015433228463642352
0.0246,0.001549571318111121
0.0247,0.0015558191700295
0.024800000000000003,0.0015620663996202316
0.024900000000000002,0.0015683130043844247
0.025,0.0015745589818234368
0.0251,0.001580804329438877
0.0252,0.0015870490447326064
0.0253,0.0015932931252067393
0.025400000000000002,0.0015995365683636432
0.025500000000000002,0.001605779371705941
0.0256,0.001612021532736512
0.0257,0.001618263048958491
0.0258,0.0016245039178752721
0.025900000000000003,0.0016307441369905076
0.026000000000000002,0.0016369837038081102
0.0261,0.001643222615832253
0.0262,0.0016494608705673716
0.0263,0.0016556984655181637
0.0264,0.0016619353981895918
0.026500000000000003,0.0016681716660868827
0.026600000000000002,0.0016744072667155294
0.0267,0.0016806421975812916
0.0268,0.0016868764561901975
0.0269,0.0016931100400485433
0.027,0.0016993429466628956
0.027100000000000003,0.001705575173540092
0.027200000000000002,0.0017118067181872416
0.0273,0.0017180375781117266
0.0274,0.0017242677508212036
0.0275,0.0017304972338236034
0.027600000000000003,0.0017367260246271322
0.027700000000000002,0.0017429541207402747
0.027800000000000002,0.001749181519671792
0.0279,0.0017554082189307246
0.028,0.0017616342160263934
0.0281,0.001767859508468399
0.028200000000000003,0.0017740840937666247
0.028300000000000002,0.0017803079694312367
0.0284,0.0017865311329726846
0.0285,0.0017927535819017033
0.0286,0.0017989753137293133
0.0287,0.0018051963259668215
0.028800000000000003,0.0018114166161258233
0.028900000000000002,0.001817636181718203
0.029,0.001823855020256134
0.0291,0.0018300731292520815
0.0292,0.0018362905062188019
0.029300000000000003,0.0018425071486693437
0.029400000000000003,0.0018487230541170512
0.029500000000000002,0.001854938220075561
0.0296,0.0018611526440588078
0.0297,0.001867366323581022
0.0298,0.0018735792561567317
0.029900000000000003,0.0018797914393007637
0.030000000000000002,0.001886002870528245
0.030100000000000002,0.0018922135473546035
0.0302,0.0018984234672955681
0.0303,0.001904632627867171
0.0304,0.0019108410265857485
0.030500000000000003,0.0019170486609679405
0.030600000000000002,0.0019232555285306938
0.0307,0.0019294616267912612
0.0308,0.0019356669532672038
0.0309,0.0019418715054763907
0.031,0.0019480752809370018
0.031100000000000003,0.001954278277167526
0.031200000000000002,0.0019604804916867656
0.0313,0.0019666819220138343
0.031400000000000004,0.001972882565668161
0.0315,0.001979082420169487
0.0316,0.001985281483037872
0.0317,0.0019914797517936902
0.0318,0.001997677223957634
0.031900000000000005,0.002003873897050715
0.032,0.0020100697685942635
0.032100000000000004,0.002016264836109932
0.0322,0.002022459097119693
0.0323,0.0020286525491458414
0.0324,0.0020348451897109973
0.0325,0.002041037016338105
0.032600000000000004,0.0020472280265504328
0.0327,0.0020534182178715775
0.0328,0.0020596075878254625
0.0329,0.00206579613393634
0.033,0.002071983853728791
0.033100000000000004,0.0020781707447277285
0.0332,0.0020843568044583956
0.0333,0.002090542030446369
0.0334,0.002096726420217558
0.0335,0.0021029099712982064
0.033600000000000005,0.002109092681214895
0.0337,0.0021152745474945387
0.033800000000000004,0.002121455567664392
0.0339,0.002127635739252046
0.034,0.0021338150597854334
0.0341,0.002139993526792825
0.0342,0.0021461711378028344
0.034300000000000004,0.0021523478903444173
0.0344,0.002158523781946872
0.0345,0.002164698810139844
0.0346,0.00217087297245332
0.0347,0.0021770462664176364
0.034800000000000005,0.0021832186895634756
0.0349,0.002189390239421867
0.035,0.0021955609135241925
0.0351,0.0022017307094021814
0.0352,0.0022078996245879167
0.035300000000000005,0.002214067656613831
0.0354,0.0022202348030127125
0.035500000000000004,0.002226401061317702
0.0356,0.0022325664290622966
0.0357,0.00223873090378035
0.0358,0.0022448944830060712
0.0359,0.002251057164274029
0.036000000000000004,0.002257218945119152
0.0361,0.002263379823076726
0.0362,0.0022695397956824016
0.0363,0.0022756988604721888
0.0364,0.0022818570149824623
0.036500000000000005,0.002288014256749961
0.0366,0.002294170583311786
0.0367,0.002300325992205409
0.0368,0.0023064804809686656
0.0369,0.0023126340471397613
0.037000000000000005,0.0023187866882572686
0.0371,0.002324938401860131
0.037200000000000004,0.0023310891854876645
0.0373,0.0023372390366795536
0.0374,0.0023433879529758603
0.0375,0.0023495359319170165
0.0376,0.0023556829710438317
0.037700000000000004,0.0023618290678974903
0.0378,0.002367974220019552
0.0379,0.0023741184249519583
0.038,0.0023802616802370254
0.0381,0.002386403983417453
0.038200000000000005,0.002392545332036319
0.0383,0.002398685723637083
0.038400000000000004,0.002404825155763591
0.0385,0.0024109636259600675
0.0386,0.0024171011317711266
0.038700000000000005,0.0024232376707417655
0.0388,0.0024293732404173673
0.038900000000000004,0.002435507838343706
0.039,0.002441641462066941
0.0391,0.002447774109133625
0.0392,0.002453905777090697
0.0393,0.0024600364634854914
0.039400000000000004,0.0024661661658657336
0.0395,0.0024722948817795416
0.0396,0.0024784226087754303
0.0397,0.002484549344402308
0.0398,0.0024906750862094817
